product_name,category,review_count,avg_rating,avg_price,cnt_n,rat_n,pop_score
"MILTON Thermosteel Flip Lid 500 ml Flask(Pack of 1, Silver, Steel)",MILTON Thermosteel,9278,4.451067040310412,648.0,0.9999999999999999,0.8385491295030623,0.9354
"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Piece",cello Pack,8870,4.359639233370913,1299.0,0.9560155239327296,0.8116585980502686,0.8983
Home Sizzler 153 cm (5.02 ft) Polyester Room Darkening Window Curtain (Pack Of 2,Home Sizzler,4350,4.4783908045977014,299.0,0.46873652436395,0.8465855307640298,0.6199
"HAIR & CARE Triple Blend Damage Repair Non-Sticky Hair Oil with Aloe Vera, For D",HAIR CARE,1999,4.653326663331666,113.0,0.21528676153514445,0.8980372539210781,0.4884
SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card(With Adapter),SAMSUNG EVO,1999,4.424212106053027,649.0,0.21528676153514445,0.8306506194273606,0.4614
"Canon EOS 3000D DSLR Camera 1 Camera Body, 18 - 55 mm Lens(Black)",Canon EOS,1830,4.483060109289617,30999.0,0.19706770159551532,0.8479588556734168,0.4574
"SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator(Elegant Inox, RT28A3453",SAMSUNG,1727,4.528662420382165,24490.0,0.18596377749029755,0.8613713001124015,0.4561
Singer FM 1409 Electric Sewing Machine( Built-in Stitches 9),Singer,2003,4.3509735396904645,8499.0,0.21571798188874514,0.8091098646148425,0.4531
"Cosito 144 TC Cotton Double Floral Flat Bedsheet(Pack of 1, Red, White)",Cosito,2322,4.116279069767442,339.0,0.2501078050884002,0.7400820793433653,0.4461
CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book Shelf(Finish Color ,CMerchants Multi,2399,4.066277615673197,625.0,0.25840879689521346,0.7253757693156462,0.4452
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model,Other,2205,4.1519274376417235,13999.0,0.23749460974557998,0.7505668934240362,0.4427
"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)(Blue, Lithium Polymer)",Other,2006,4.261216350947159,1149.0,0.21604139715394566,0.7827106914550466,0.4427
"VICTORY Professional Wrist Wrap Band , Wrist Strap For Gym and Fitness Wrist Sup",VICTORY Professional,1548,4.50968992248062,109.0,0.16666666666666666,0.8557911536707705,0.4423
"Kadio Analog 20 cm X 20 cm Wall Clock(Beige, With Glass, Standard)",Kadio Analog,2380,4.010504201680672,225.0,0.2563605002156102,0.708971824023727,0.4374
LA VERNE Microfibre Stripes Cushion Pack of 3(White),VERNE Microfibre,1770,4.31864406779661,379.0,0.19059939629150496,0.7996011964107677,0.4342
MarQ by Flipkart 18-Litre 18L1200W4HL Oven Toaster Grill (OTG) with 4 Skewers an,MarQ Flipkart,1603,4.407985028072364,2499.0,0.17259594652867616,0.8258779494330482,0.4339
APPLE iPad (9th Gen) 64 GB ROM 10.2 inch with Wi-Fi Only (Space Grey),APPLE iPad,1044,4.67911877394636,29990.0,0.11233290211297974,0.905623168807753,0.4296
Bajaj DX 2 L/W Dry Iron,Bajaj,1790,4.254189944134078,529.0,0.1927554980595084,0.7806441012159051,0.4279
"BAJAJ 15 L Storage Water Geyser (Popular Plus 15 L, White)",BAJAJ,1755,4.253561253561253,5499.0,0.18898231996550235,0.7804591922238979,0.4256
Dettol Effective Protection Antiseptic Liquid(1000 ml),Dettol Effective,1058,4.613421550094518,349.0,0.11384217335058215,0.8863004559101524,0.4228
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/A(13.3 inch,APPLE Macbook,752,4.780585106382978,86990.0,0.08085381630012937,0.9354662077596994,0.4227
Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output,Thomson Alpha,1200,4.505833333333333,7999.0,0.12915049590340663,0.8546568627450979,0.4194
"POCO C31 (Royal Blue, 64 GB)??(4 GB RAM)",POCO,1999,4.013506753376689,7499.0,0.21528676153514445,0.7098549274637318,0.4131
FLIPZON Baby 6 Shelve Unbreakable Material PVC Collapsible Wardrobe(Finish Color,FLIPZON Baby,1306,4.388208269525268,1095.0,0.14057783527382492,0.820061255742726,0.4124
"NIVIA Storm Football - Size: 5(Pack of 1, Multicolor)",NIVIA Storm,1802,4.091009988901221,429.0,0.19404915912031048,0.7326499967356532,0.4095
"ZunVolt Power MG5 500 Mixer Grinder (3 Jars, White)",ZunVolt Power,10,5.0,1290.0,0.00086244070720138,1.0,0.4005
BAJAJ FX7 600 W Food Processor,BAJAJ,10,5.0,6390.0,0.00086244070720138,1.0,0.4005
