product_name,category,avg_rating,avg_price,review_count,text
1170-BL-BR Unique New Day & Date Analog Watch  - For Men,Unique New,3.986666666666667,299.0,150,Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
38024PP25 Minimalists Analog Watch  - For Men,Minimalists Analog,4.888888888888889,850.0,9,Nan Nan Nan Nan Nan Nan Nan Nan Nan
"3D METRO SUPER STORE JUICER_Gduumy 1 Juicer,1 Handle,1 Jar,1 Glass 0 Juicer (1 J",METRO SUPER,3.67,417.0,100,Simply awesome Excellent Excellent Wonderful Awesome Product Highly recommended Wonderful Classy product Perfect product! Must buy!
"3D METRO SUPER STORE METRO_MIXER Pro 0 Juicer (1 Jar, Multicolor)",METRO SUPER,4.75,199.0,28,Fabulous! Simply awesome Classy product Highly recommended Excellent Great product Terrific purchase Fabulous! Worth every penny Moderate
77085PP03 Volt Analog Watch  - For Men,Volt Analog,4.711111111111111,699.0,45,Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recordi,Airtel DTH,4.6875,219.0,16,Good quality product Nice product Great product Super! Awesome Just wow! Wonderful Really Nice Perfect product! Great product
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit(Finish Color - Cl,nilkamal,4.444444444444445,11999.0,54,Great product Must buy! Simply awesome Mind-blowing purchase Awesome Wonderful Worth the money Worth the money Value-for-money Mind-blowing purchase
"ADONYX Combo of Knee,Palm, Elbow & Ankle Support",ADONYX Combo,3.8035714285714284,199.0,56,Good Value-for-money Useless product Just okay Brilliant Fabulous! Simply awesome Moderate Terrible product Waste of money!
ADZOY Metal Lazy Stand Bracket for Neck Rest on Bed 360 Degree Mobile Holder Mob,ADZOY Metal,3.5161290322580645,284.0,62,Worth the money Classy product Just okay Absolute rubbish! Fair Good choice Worst experience ever! Mind-blowing purchase Slightly disappointed Mind-blowing purchase
AGAMI Green 2 Layer Lucky Bamboo plant with Big Round Glass Pot and Colored Jell,AGAMI Green,4.455,279.0,200,Just wow! Brilliant Best in the market! Classy product for gifting Decent product Highly recommended Terrific purchase Mind-blowing purchase Classy product Excellent
AGARO Imperial Slow Juicer_ 240 Juicer (Grey),AGARO Imperial,4.527659574468085,12999.0,235,Awesome product Nice product Simply awesome Good Juicer with satisfactory build quality Neat design and good outcome. Great product Good Worth every penny Awesome Great product
AGARO Regal Hand-held Vacuum Cleaner(Black),AGARO Regal,4.118204804045512,1599.0,1582,Excellent Terrific purchase Fabulous! Terrific Pretty good Highly recommended Just okay Highly recommended powerful suction  Mind-blowing purchase
AGRO ALIVE Red Sandalwood Plant(Pack of 1),AGRO ALIVE,2.272727272727273,124.0,55,Classy product Moderate Highly recommended Useless product Utterly Disappointed Don't waste your money Horrible Super! Worthless Waste of money!
AJRO DEAL Double Spring Tummy Trimmer - Multipurpose Fitness Equipment (Black) A,AJRO DEAL,4.28,189.0,100,Great product Simply awesome Great product Decent product Classy product Wonderful Really Nice Fabulous! Brilliant Nice product
ANTIOUE MART Wooden Set Top Box Stand Wall Mounted TV Cabinets Wall Selves Holds,ANTIOUE MART,3.2545454545454544,492.54545454545456,110,Worst experience ever! Must buy! Delightful Wonderful Worst experience ever! Moderate Wonderful Waste of money! Best in the market! Brilliant
ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod??(Water),ANTRONIC Premium,4.1911764705882355,257.0,68,Worth every penny Best in the market! Great product Super! Not recommended at all Terrific Brilliant Very Good Moderate Expected a better product
AOQ Cleaning Brush Feather Microfiber Duster with Extendable Rod Dust Cleaner Fi,AOQ Cleaning,3.87,299.0,100,Perfect product! Excellent Super! Brilliant Good Highly recommended Terrific Unsatisfactory Super! Brilliant
